location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1965-08-31,-0.004717254363305814
usa,accruals,monthly,vw_cap,6,1965-09-30,0.0002713008550868986
usa,accruals,monthly,vw_cap,6,1965-10-31,0.001999167292993555
usa,accruals,monthly,vw_cap,6,1965-11-30,0.008393284015054738
usa,accruals,monthly,vw_cap,6,1965-12-31,-0.004966577651289045
usa,accruals,monthly,vw_cap,6,1966-01-31,0.0023468823683159006
usa,accruals,monthly,vw_cap,6,1966-02-28,-0.006844182846615946
usa,accruals,monthly,vw_cap,6,1966-03-31,0.008933354402926079
usa,accruals,monthly,vw_cap,6,1966-04-30,0.00447220140534533
usa,accruals,monthly,vw_cap,6,1966-05-31,0.004397874338075431
usa,accruals,monthly,vw_cap,6,1966-06-30,-0.0010983644172725914
usa,accruals,monthly,vw_cap,6,1966-07-31,0.008728076298185835
usa,accruals,monthly,vw_cap,6,1966-08-31,0.0038361383783411737
usa,accruals,monthly,vw_cap,6,1966-09-30,0.01754846551009633
usa,accruals,monthly,vw_cap,6,1966-10-31,0.019450367801957736
usa,accruals,monthly,vw_cap,6,1966-11-30,-0.021762361027026344
usa,accruals,monthly,vw_cap,6,1966-12-31,-0.004562771510026854
usa,accruals,monthly,vw_cap,6,1967-01-31,-0.011338367840043486
usa,accruals,monthly,vw_cap,6,1967-02-28,-0.006544397550198349
usa,accruals,monthly,vw_cap,6,1967-03-31,-0.0061314573788913045
usa,accruals,monthly,vw_cap,6,1967-04-30,-0.005951280593155498
usa,accruals,monthly,vw_cap,6,1967-05-31,0.004699838370619701
usa,accruals,monthly,vw_cap,6,1967-06-30,-0.0077241565349271115
usa,accruals,monthly,vw_cap,6,1967-07-31,0.006316861372594114
usa,accruals,monthly,vw_cap,6,1967-08-31,0.0041408497269616274
usa,accruals,monthly,vw_cap,6,1967-09-30,-0.01225013953510786
usa,accruals,monthly,vw_cap,6,1967-10-31,-0.00424628097624838
usa,accruals,monthly,vw_cap,6,1967-11-30,-0.0047268971467975505
usa,accruals,monthly,vw_cap,6,1967-12-31,0.009119286425329684
usa,accruals,monthly,vw_cap,6,1968-01-31,0.03797945548903181
usa,accruals,monthly,vw_cap,6,1968-02-29,0.013991942006020766
usa,accruals,monthly,vw_cap,6,1968-03-31,-0.005544385198364942
usa,accruals,monthly,vw_cap,6,1968-04-30,-0.019937873491535075
usa,accruals,monthly,vw_cap,6,1968-05-31,-0.012912754944662827
usa,accruals,monthly,vw_cap,6,1968-06-30,0.01392072657569895
usa,accruals,monthly,vw_cap,6,1968-07-31,0.020211929421194028
usa,accruals,monthly,vw_cap,6,1968-08-31,0.016649971659749036
usa,accruals,monthly,vw_cap,6,1968-09-30,0.001862062624246947
